name,iata,icao,country,lat,lon
Spencer Municipal Airport,SPW,KSPW,United States,43.163891,-95.200836
Speyer Airport,QCS,EDRY,Germany,49.303154,8.452496
Spirit of St. Louis Airport,SUS,KSUS,United States,38.66,-90.650002
Split Airport,SPU,LDSP,Croatia,43.53894,16.29796
Spokane Fairchild Air Force Base,SKA,KSKA,United States,47.615051,-117.654999
Spokane Felts Field,SFF,KSFF,United States,47.682812,-117.321999
Spokane International Airport,GEG,KGEG,United States,47.616913,-117.53978
Spring Point Airport,AXP,MYAP,Bahamas,22.44182,-73.970802
Springdale Municipal Airport,SPZ,KASG,United States,36.176388,-94.119164
Springfield Abraham Lincoln Capital Airport,SPI,KSPI,United States,39.844101,-89.677803
Springfield Beckley Municipal Airport,SGH,KSGH,United States,39.840279,-83.840279
Springfield Branson National Airport,SGF,KSGF,United States,37.245659,-93.388603
Springfield Westover Metropolitan Airport,CEF,KCEF,United States,42.194012,-72.534698
Squamish Airport,YSE,CYSE,Canada,49.782101,-123.161766
Srednekolymsk Airport,SEK,UESK,Russia,67.479218,153.735001
Srinagar Airport,SXR,VISR,India,33.987129,74.774246
St George Airport,SGO,YSGE,Australia,-28.053333,148.593887
St-Yan Airport,SYT,LFLN,France,46.412498,4.01326
St. Anthony Airport,YAY,CYAY,Canada,51.391941,-56.083
St. Athan Airport,DGX,EGSY,United Kingdom,51.404106,-3.439235
St. Augustine Northeast Florida Regional Airport,UST,KSGJ,United States,29.959324,-81.337852
St. Catharines Niagara District Airport,YCM,CYSN,Canada,43.1917,-79.1717
St. Catherine International Airport,SKV,HESC,Egypt,28.682993,34.064796
St. Cloud Regional Airport,STC,KSTC,United States,45.546665,-94.059998
St. Croix Henry E. Rohlsen Airport,STX,TISX,Virgin Islands Us,17.70155,-64.801697
St. Gallen Altenrhein Airport,ACH,LSZR,Switzerland,47.485031,9.560775
St. George Island Airport,STG,PAPB,United States,56.575466,-169.664078
St. George Regional Airport,SGU,KSGU,United States,37.029999,-113.510002
St. Helens Airport,HLS,YSTH,Australia,-41.337746,148.284515
St. Jean Airport,YJN,CYJN,Canada,45.295284,-73.280861
St. Jean Gustaf III Airport,SBH,TFFJ,Guadeloupe,17.90444,-62.843601
St. John's International Airport,YYT,CYYT,Canada,47.61861,-52.7519
St. Louis Downtown Airport,CPS,KCPS,United States,38.570599,-90.158066
St. Louis Lambert International Airport,STL,KSTL,United States,38.748692,-90.370003
St. Mary's Airport,KSM,PASM,United States,62.060001,-163.300003
St. Michael Airport,SMK,PAMK,United States,63.490002,-162.110275
St. Moritz Samedan Airport,SMV,LSZS,Switzerland,46.534069,9.884106
St. Paul Downtown Airport,STP,KSTP,United States,44.933334,-93.066666
St. Paul Island Airport,SNP,PASN,United States,57.164482,-170.223175
St. Petersburg Albert Whitted Airport,SPG,KSPG,United States,27.767256,-82.62484
St. Petersburg Clearwater International Airport,PIE,KPIE,United States,27.91,-82.687401
St. Petersburg Pulkovo Airport,LED,ULLI,Russia,59.800289,30.262501
St. Stephan Airport,QYN,LSTS,Switzerland,46.498852,7.410307
St. Theresa Point Airport,YST,CYST,Canada,53.84557,-94.852318
St. Thomas Cyril E. King Airport,STT,TIST,Virgin Islands Us,18.337299,-64.973297
St. Thomas Municipal Airport,YQS,CYQS,Canada,42.773056,-81.105995
Stadtlohn Vreden Airport,QEV,EDLS,Germany,51.995277,6.843333
Stafford Regional Airport,QDS,KRMN,United States,38.396832,-77.454086
Staniel Cay Airport,TYM,MYES,Bahamas,24.1691,-76.439102
Stanley Airport,PSY,SFAL,Falkland Islands (Malvinas),-51.685699,-57.777599
Stanthorpe Airport,SNH,YSPE,Australia,-28.620092,151.98111
Stapleford Airport,QGS,EGSG,United Kingdom,51.654594,0.158465
Starkville George M. Bryan Airport,QNT,KSTF,United States,33.434425,-88.848625
State College Regional Airport,SCE,KUNV,United States,40.84927,-77.848602
Statesboro Bulloch County Airport,TBR,KTBR,United States,32.4827,-81.7369
Statesville Regional Airport,SVH,KSVH,United States,35.765121,-80.951424
Stauning Airport,STA,EKVJ,Denmark,55.99012,8.353906
Staunton Shenandoah Valley Regional Airport,SHD,KSHD,United States,38.263889,-78.896667
Stavanger Sola Airport,SVG,ENZV,Norway,58.87677,5.637856
Stavropol Shpakovskoye Airport,STW,URMT,Russia,45.109161,42.11277
Stawell Airport,SWC,YSWL,Australia,-37.071102,142.741486
Steamboat Springs Airport,SBS,KSBS,United States,40.516666,-106.862503
Stebbins Airport,WBB,PWBB,United States,63.515945,-162.278076
Stella Maris Airport,SML,MYLS,Bahamas,23.58144,-75.270401
Stendal Borstel Airport,QCJ,EDOV,Germany,52.629208,11.820399
Stephenville Clark Regional Airport,SEP,KSEP,United States,32.21574,-98.177963
Stephenville International Airport,YJT,CYJT,Canada,48.544159,-58.5499
Sterling Municipal Airport,STK,KSTK,United States,40.613441,-103.263702
Sterling Whiteside County Airport,SQI,KSQI,United States,41.740002,-89.680832
Stevens Point Municipal Airport,STE,KSTE,United States,44.545277,-89.53083
Stillwater Regional Airport,SWO,KSWO,United States,36.15889,-97.085556
Stockerau Airport,QOU,LOAU,Austria,48.409042,16.190479
